Local_short_NAME,KRX_code,isin_code,Asset,sub_strategy,region,inception,TER
KODEX IT,266370,KR7266370006,EQUITY,정보기술,국내,2017-03-28,0.45
KODEX 2차전지산업,305720,KR7305720005,EQUITY,2차전지(배터리),국내,2018-09-12,0.45
KODEX 200IT TR,363580,KR7363580002,EQUITY,정보기술,국내,2020-09-25,0.15
KODEX K-신재생에너지액티브,385510,KR7385510003,EQUITY,친환경에너지,국내,2021-05-25,0.5
SOL 2차전지소부장Fn,455860,KR7455860007,EQUITY,2차전지(배터리),국내,2023-04-25,0.45
DAISHIN343 AI반도체&인프라액티브,486240,KR7486240005,EQUITY,반도체,국내,2024-06-18,0.36
